,comment,replies
0,Super helpful! Thanks for making this video,[]
1,"Thanks for the video, I am a bit confused about why use this function, for example, in that get_weather() function, all the GPT does it to extract the information to a parameter that we can feed into a function, so why not we just write a prompt to get the location as a json directly? is it because you do not know what the user would ask? so you can provide a list of functions that you wrote, and from the output, we can determine, whether the user invokes one of our functions or not, if yes, then we use the GPT output to do a further processing?  but this is actually complex, after getting the result from the your own function, how do you know how to construct the proper answer to the user? what about the user triggers 3 functions, and what should happen next? how could you provide an outcome to the user in this case (more than 1 function has been invoked)?",[]
2,"What does a working relationship with you look like? <br><br>I run a business consulting the roofing industry in their sales and service operations. We deploy that as a service by customizing enterprise grade software like hubspot and end point solutions for Configure price quote and field service management. <br><br>After 7 years Our average contract value is North of $85,000 up to $330,000 and our MRR client spend is $7500 so we have the gas in the tank to invest in establishing a beach head for Ai concepts. <br><br>The roofing industry might not seem very sexy for a person as intelligent as yourself who might not be exposed to it. However a tech minded person knows that the success of a tech product is based on the total addressable market; of which roofing benefits every human in the country. You, me, everyone lives under a roof, most work under a roof, we are entertained under a roof, we shop under a roof and our kids our educated under a roof. <br><br>Just the top 25 counties in the US represent $10b in residential roof replacements annually alone. <br><br>We think there are some great opportunities in:<br><br>1. Workforce resource management<br>2. Weather data analysis, marketing automation. <br>3. Inventory management and distribution <br>4. Estimating from blueprints <br>5. Financial analysis <br><br>I am at a place In my life and businesses brand where my ability to secure deals and align interests supersedes my technical skill. With $150,000 a month in payroll my responsibilities rest in continuing to grow the brand and client value. Which means I don’t get to do what I find fun and creative with technology as much as I’d like. I need to - at least for this season of business - find great team mates who have the skillsets but perhaps see value in access to interesting, important and profitable problems to solve; with an interest in aligning with a deeply entrenched business in an industry willing to invest. <br><br>Is this you? HMU","['Hi Adam, feel free to contact me via Harrison@<a href=""http://pythonprogramming.net/"">pythonprogramming.net</a>. Sounds like possibly you&#39;re looking for contract work, but I would likely need some more specifics of what you&#39;re after from me.']"
3,"<a href=""https://www.youtube.com/watch?v=0lOSvOoF2to&amp;t=7m16s"">7:16</a> This is wrong. There isn&#39;t one parameter. There are two: location and unit [of temperature]. It matches the number of parameters of the actual python function. <a href=""https://www.youtube.com/watch?v=0lOSvOoF2to&amp;t=7m26s"">7:26</a> Again, you&#39;re not restricting location. That doesn&#39;t make sense. &quot;celsius&quot; isn&#39;t a location.",[]
4,"I liked very much! and I only managed to learn like you teaching! <br><br> Could you demonstrate how it would be to create a food recipe, adding title, ingredients, preparation method? I think it would be amazing example",[]
5,Looks like better alinement,[]
6,Great Intro. TNX!,[]
7,I don&#39;t understand. How will know your script what function has to give with the prompt from a  user? Isn&#39;t it a negation of GPT possibilities that you must choose a function instead of GPT choosing a function?,[]
8,"Thanks for the video. How did you get access to GPT-4, if you don&#39;t mind me asking?",[]
9,"Thanks for sharing, just might be simpler to show this example as a chart",[]
