,comment,replies
0,"Do you want to learn technology from me? Check <a href=""https://codebasics.io/"">https://codebasics.io/</a> for my affordable video courses.",['Hi.. Could you please upload a video for RoBERTa?']
1,thanks sir for this great series,[]
2,"print(&quot;Very explicit, thanks for all you do for the AI/ML learning nation&quot;)",[]
3,"Lo pondré en mi dedicatoria de tesis cuando lo termine, gracias por el video",[]
4,Thanks,[]
5,Great video. Thanks,[]
6,Really learning what is BERT. Great going,[]
7,"Baby don&#39;t love me, don&#39;t love me, no more....",[]
8,"I thought watching ads are the &quot;fee&quot; of watching this video, instead thumbs up :)",[]
9,"Very nice video! Shortly introduce the concepts, then jump into coding practice with detail explanation. I learned a lot during my following and experimenting the coding. Thanks. Can’t wait to explore more about the coming classes.",[]
10,"What is padding in word embeddings? Does it mean that the first sentence has just 3 words in it so remaining 125 arrays for it will be padded with 0? for 2nd sentence example in the video, there are 4 sentences. So for this 128-4=124 arrays would be padded with 0? Is this interpretation of padding in word embedings correct?",[]
11,"Thankyou for your Explaination 😀😀😀😀, it&#39;s easier to understand from your video",[]
12,The BERT gives different results on every run in text classification. How can the problem be solved?,[]
13,Great Work. Thank you. Kudos to you man.,[]
14,❤,[]
15,The examples in tensorflow help a lot to understand how everything works,[]
16,Now you are getting funny<br>Thank you so much!!,[]
17,i have a problem &#39;ERROR: Could not install packages due to an OSError: [WinError 5] Acceso denegado:&#39;... Does anyone know what can I do?,[]
18,I paid my fees. 🤣🤣🤣,[]
19,"<a href=""https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=5m25s"">5:25</a> word2vec problem: &quot;ashe pashe&quot; ke ase ta dekhe NA",[]
20,"Ow Thank you. This is interesting tutorial. But can we use BERT directly for our local non-English language. If it is so, how can we use it? If it is not possible, how can we develop an algorithm like BERT for our local language too? I asked this question because most of the tutorials here in YouTube is given by English examples and models and those models cannot be applied to other local languages. For example, we cannot use Spacy POS Tagger for our local language. That is the big problem for us to develop NLP applications or model using those pretrained models. So, if it possible I like you to give us a methods for using models like BERT for our local languages too. I am very interested if it is so.",[]
21,"Need a kind of teacher like you in Engineering university, Most of them can&#39;t trach properly. They judge by only exam.",[]
22,"<a href=""https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=14m45s"">14:45</a> to my experiments, the number of 1 - CLS is not equal to the number of words.... it seems related to the length of the words and the sentence, am I wrong? Thanks",[]
23,thanks,[]
24,love your video,[]
25,Really so helpful. Thanks a lot Sir. 👍,[]
26,Great video! thank you!,[]
27,Thank you so much Sir ! Your videos are very informative in a understandable way :D,[]
28,How to analyze semantic opacity of multi word expression? Is that true using BERT model? Or we should be use CBOW and Skip-gram?,[]
29,Thank you so much.,[]
30,"So helpful for quick understanding, thanks a lot!",[]
31,"Brilliant, made me understand the concepts at a go.",[]
32,Natural teaching skills. Brilliant!,[]
33,"Hey, very imformative video! Could you please make a video on how to use the BERT model for text question and answering locally? <br>Thanks",[]
34,Thank you so much. It is really great to help to newbies in NLP.,[]
35,Everybody asking &quot;What is Bert&quot; but noone asking &quot;How is Bert&quot;,[]
36,well done,[]
37,Hi.. Could you please upload a video with RoBERTa ?,[]
38,"Great video, filled many gaps I had in how BERT is used.  Thank you!",['Glad it helped!']
39,transformer and t5 model video need sir....,[]
40,"Hello Sir,<br>Can you please clarify the dimension vs padding at <a href=""https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=1194s"">https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=1194s</a>?",[]
41,"Need a little more info on how we got 2, 128, 768....why will we need padding here?",[]
42,Such a nice concise work. Thanks,[]
43,more amazing content,[]
44,"Thanks for the video , please i have been having issues running tensorflow_hub and tensorflow_text, please can you help me out here",[]
45,Amazing explanation. Can you plz build a model using BERT fine tuning,[]
46,a great video!  can we get an embedding for a corpus (as well as their word and sentence embeddings) out of Bert?,[]
47,"Hi , can you explain ALBEF?",[]
48,thanks for using Mahmudullah as an Example,[]
49,"If bert have fixed size padding for each sentence, does it lead to wastage of memory every time it runs??",[]
50,"great explanation, easy and fantastic.",[]
51,Can&#39;t be much easier or better than this. Thank you for such a greare video and awesome explanation.,[]
52,error no named module called tensorflow hub error in jypter notebook,[]
53,Dank je wel!,[]
54,"Thank you so much, loved it. Very well explained.",[]
55,"Good stuff, but I need to read more.",[]
56,how can we use this for translation?,[]
57,Congrats from Brazil! :),[]
58,great effort,[]
59,Has anyone got error due to tensorflow_text lib?,[]
60,"Superb Dhawal........By explaining with code, all doubt has been cleared now. Thank you so much",[]
61,"I really, really learn many new techniques from your video continue appreciate",['Glad to hear that!']
62,"Sir, can you upload a video content about XLNet concept and it’s implementation.? Thanks in advance sir. Love from Bangladesh",[]
63,i owe you for this. so well explained.,[]
64,thanks,[]
65,Hi I have 2.2 lakh record of short description and assignment group which is in categorical approx unique count is 450  and I need to classify assignment group basis of words,['I tried the way your are doing but not worked for me. Is any suggestions']
66,"super consice explanation, ultra satafying while watching it, keep going!",[]
67,dear i need a BERT developer can you help me?<br>kindly provide contact no.,[]
68,Thank you!,[]
69,You are my guru.  Please keep guiding us.,[]
70,perfect tutorial,[]
71,"You made it look so easy! awesome. So basically i can just use the pre process URL and encoder url, generate the word embeddings and feed it as input to neural network??????","['@codebasics well you just earned another subscriber😃👍', 'Yup']"
72,thank you sir,[]
73,Really inspiring.,[]
74,You still my favorite instructor,[]
75,Please dont add background music while explaining..,[]
76,One of the best tutorials about BERT I&#39;ve seen so far thanks :),[]
77,great work,[]
78,Excellent Explanation Sir! Learned a lot. 👏Expecting more sir.,[]
79,Do this work for languages other than english?,[]
80,"Great video super explanation this is useful for classifying sentences, what if I have conversations to classify, Where is conversation has multiple sentences, so how to classify a conversation into a particular class where a conversation has multiple sentences inside. The documentation of tenser flow explains how to classify sentences But not how to classify conversations in to a particular class",[]
81,Thank you for explaining BERT. The pace and progression was extremely well executed.,[]
82,Excellent video.,[]
83,The G.O.A.T of teaching 😍,[]
84,Can I train a chat bot using Bert model?,[]
85,code basics: I&#39;m going to explain in simple language as if you were a high school student <br>me( a high school student) : I see this as a absolute win,[]
86,Pls do a video on toxic comment classification using Bert (jigsaw competition)pls pls,['Point noted']
87,Really helpful brother!!!!,[]
88,"thanks a lot for this great explanation, excuse me i&#39;m confused between word embedding and subword embedding. does the embeddings here for word or subword , please ?",[]
89,Great Video sir Thank u so much❤️,[]
90,Can you explain us Rem-Bert ? Thanks in advance,[]
91,Thanks,[]
92,some more examples with real-time problem must be added in programming. rest all pre-knowledge good. keep it up,[]
93,Respected Sir your videos are very good. I request your sir please cover the concepts of Attention Model and Transformer Model.,[]
94,Thank you so much. I love the way you explain the codes.,[]
95,Thanks sir 🙏,[]
96,Sir you made this look so easy,[]
97,bert_model = hub.keras_layer(encoder_url)<br>showing error for this as &#39;module&#39; object is not callable,[]
98,&quot;bert_en&quot; what is the meaning of &quot;en&quot;? is it english? so it will be better if this for english? what if i wanna train with different language? better i use this or another bert model??,[]
99,"<a href=""https://www.youtube.com/watch?v=7kLi8u2dJz0&amp;t=1m27s"">1:27</a> You earn a subscriber.",[]
100,Great job. Nice and clear explanation.,[]
